QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 75 bytes, seq@31, lt@67
  Mode: REAL
  SHA path: per-sequence midstate + one static tail block
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000768,500000897) (129), seq=[0x80000020+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483680 lt=500000896 ri=0 hash=49376cb8e7f36330159c80e69312cc927aeca6993184dedd6401bbd84d01bb23
QSB_TRACE seq=2147483680 lt=500000768 ri=0 hash=b82068a0495b04367180eb6dc17b5c545871abd2f60db582ce940628a1d0093e
QSB_TRACE seq=2147483680 lt=500000769 ri=0 hash=f243207355c725aa0820db2ec2c013a615d7541ff442df4aa8bfd54da0272ae5
QSB_TRACE seq=2147483680 lt=500000770 ri=0 hash=84c094f2414021ac5a772d6a362fd2cbec75a793fe17f166aa355ea2f2643724
QSB_TRACE seq=2147483680 lt=500000771 ri=0 hash=a747e3810a6985dedcfa9b452db9a2cec1c15c0c0ae1c057da2f469c8dee665e
QSB_TRACE seq=2147483680 lt=500000772 ri=0 hash=e263541d70cafb9c32a44a702d4c519ddc33d4b9e2e0e9ac5549241ec0232de5
QSB_TRACE seq=2147483680 lt=500000773 ri=0 hash=a4ca056ecaa6ce1a146313a8e0973ef464d9be074515ff0fa4b0371abc6596f5
QSB_TRACE seq=2147483680 lt=500000774 ri=0 hash=74c1420f5ff27c22f559ef13c28c9336b6d4e212d292084722b21641ac42aa58
QSB_TRACE seq=2147483680 lt=500000775 ri=0 hash=57934c11332b9e46db1264428453e59c7b04285e7cbbcf2f205124e2060ecad4
QSB_TRACE seq=2147483680 lt=500000776 ri=0 hash=056d592ff8f605c422d72b7a48545a8124a5d3260bb68e6ff49dd8116b19b22a
QSB_TRACE seq=2147483680 lt=500000777 ri=0 hash=a03ecdbeb86fe80fc1e8b06302b45d1b066e8c6903f4c535552ea588a187b20a
QSB_TRACE seq=2147483680 lt=500000778 ri=0 hash=73b447688ed5dc87106706ce56f7fd001b823a274f77a78e56bd80d473c41e8c
QSB_TRACE seq=2147483680 lt=500000779 ri=0 hash=da92759d5949f563b0dc5c8b7dee79b60cb7afeacec466504d97a00028ac5f41
QSB_TRACE seq=2147483680 lt=500000780 ri=0 hash=ff6bb1281b4b3bdff440ecae5cd2205204b60d55fdd0856d4d322db2b9e088fe
QSB_TRACE seq=2147483680 lt=500000781 ri=0 hash=ad6219720569585e6948f26e1f1a4ef2e34d5793c6130927b706414e14501e9e
QSB_TRACE seq=2147483680 lt=500000782 ri=0 hash=e33bbfa66c1dc4c50a5d427ad2c779d94a6d043608b523ac5e615f5d288bde8b
QSB_TRACE seq=2147483680 lt=500000783 ri=0 hash=ad42c376c914fc30f2805cf45238defd883243d2dd04d5875539bf08453536a6
QSB_TRACE seq=2147483680 lt=500000784 ri=0 hash=533d81bfa62727b0a18ba267e9a40c5646b12ed8d4b7ea45933c1f0e30db45af
QSB_TRACE seq=2147483680 lt=500000785 ri=0 hash=9142ade8c2f6ad136c082fceaecc6680c68476bb2dca8a33d68489f1e6e83984
QSB_TRACE seq=2147483680 lt=500000786 ri=0 hash=37ce2a1aea797cd388e572d3e7e78a7082d2e34c0b42404e718aac6c4a21a061
QSB_TRACE seq=2147483680 lt=500000787 ri=0 hash=7ae92b602b05f905d1fa9e35bae2ca02bfc1f69a6793e6b53ffbdf13bc70d9ce
QSB_TRACE seq=2147483680 lt=500000788 ri=0 hash=cbf11d88b236c8172122efd7b29e3ab3816eb2fd46dde98ddd86f2a549c41129
QSB_TRACE seq=2147483680 lt=500000789 ri=0 hash=4c8ee58a67532103e8f76ce36aecfdc1fa26ba82534851edd8fd62d1f4db745e
QSB_TRACE seq=2147483680 lt=500000790 ri=0 hash=7bb704bd1ddca98c51f7854b3d56f309a7363f4b789e5ae191da3652a40ffb8f
QSB_TRACE seq=2147483680 lt=500000791 ri=0 hash=e8137279a142ff6f180319d8cac6f1696b9766230ad6a00fc22e73f69d593ac2
QSB_TRACE seq=2147483680 lt=500000792 ri=0 hash=75faef79e70b87a6cb7a0c6eaf69347f7c5e980a6de8c9c52d2031f7b40b9606
QSB_TRACE seq=2147483680 lt=500000793 ri=0 hash=07b86899cfc3ea6db5a4210f599632426fad23d132972a783f88534ec6cb3db3
