QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 75 bytes, seq@31, lt@67
  Mode: REAL
  SHA path: per-sequence midstate + one static tail block
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000768,500000897) (129), seq=[0x80000020+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483680 lt=500000896 ri=0 hash=d5ef1835394290da605cf1d11a40671c7da918d28150971a614c104b088e09b6
QSB_TRACE seq=2147483680 lt=500000864 ri=0 hash=8234efb2afdf3636febea7ba01b46fac3d3b11bae1bcd004d71278860469fd53
QSB_TRACE seq=2147483680 lt=500000865 ri=0 hash=c95a2115c2c0b4c01b3f413e56210e64769d66fea12088317c79ce55adf43273
QSB_TRACE seq=2147483680 lt=500000866 ri=0 hash=1a2a2d0acf3eadade8b7670584d52601dffc3d8e4f4fd2b97cf927db9588d7f0
QSB_TRACE seq=2147483680 lt=500000867 ri=0 hash=4a95806ddde7f4fac3a95899cc8f74ebb543bbd34e72aea28a5e11eb4144d784
QSB_TRACE seq=2147483680 lt=500000868 ri=0 hash=184f44df8b4dfab9417d458999357395972d7af8f45ccf68efd26b1c255fc07d
QSB_TRACE seq=2147483680 lt=500000869 ri=0 hash=24cc8b212ba34a92a08e85a2129e1b1b4e2e8af398ca3cbf73eaa5abcc80bb02
QSB_TRACE seq=2147483680 lt=500000870 ri=0 hash=07db75feaae70f090aad508d08afdb6e168f0b37218ddb8dbeddd14ec3d6e8e7
QSB_TRACE seq=2147483680 lt=500000871 ri=0 hash=4e11cb8dc1065d0a73a442768598102cd7a4094f71d521a45da26cf27bbdb632
QSB_TRACE seq=2147483680 lt=500000872 ri=0 hash=759e01ce152280340c42285180564a718d56c09457ff0349cedce803af4fd55e
QSB_TRACE seq=2147483680 lt=500000873 ri=0 hash=281f502be2c2d7c355e4fb741b69bc099f1781e05b2b65cf2cab7ef1d16216ca
QSB_TRACE seq=2147483680 lt=500000874 ri=0 hash=02c714d388b5540c7b9bbf08b5e540ebec3c1dceeeff43707d35de57f4a5a9f5
QSB_TRACE seq=2147483680 lt=500000875 ri=0 hash=f858a6b5bcece55471543926e485a65af46984d55ec9713729cf78463bec453d
QSB_TRACE seq=2147483680 lt=500000876 ri=0 hash=8b633dfc736adef9f5825856d6d8e7945497347602bd1458bd5bd2b2513a03ce
QSB_TRACE seq=2147483680 lt=500000877 ri=0 hash=747ae31a143db54e408008a0d31b76627d34c4a23f4631cd939b017991d21374
QSB_TRACE seq=2147483680 lt=500000878 ri=0 hash=d2e9f9c5e946c7b2f74b2251101be2b6c020a1b84ad799a82a775547f439b606
QSB_TRACE seq=2147483680 lt=500000879 ri=0 hash=aec4d4b6082194ee2cb1b5a1e6ed63d7a1d5a6d0aa55ddf77337793882b967f1
QSB_TRACE seq=2147483680 lt=500000880 ri=0 hash=945966114eb89437b5f4c40f822b2bbd5ba7ad4ed03c9200f778b77a585c4195
QSB_TRACE seq=2147483680 lt=500000881 ri=0 hash=4ffa12a6faca4e77c9c62870462879c7bad8bc57d98b78a15d2bd9d36a0ef49e
QSB_TRACE seq=2147483680 lt=500000882 ri=0 hash=c9f4a1fe43444f7cb6a9aed937fea32ce9944b11bd5edbc8658a1c46dbde8172
QSB_TRACE seq=2147483680 lt=500000883 ri=0 hash=70c0a6de1e725c484b728322b2642b52467ccbcf2ee8a6bbfa26f942ef12c809
QSB_TRACE seq=2147483680 lt=500000884 ri=0 hash=d2e8240408815f37337ecc5dd6d5683293914d5bb16bb42f4098f229c1bf9c56
QSB_TRACE seq=2147483680 lt=500000885 ri=0 hash=2be66c05571c4dfb7e70a1584e508e897f11c817b43a47a9441fc5e252851917
QSB_TRACE seq=2147483680 lt=500000886 ri=0 hash=c1a2662a762cab303b1387eedea5857cdcfa0c1f3e7d151d52eca398bb42e153
QSB_TRACE seq=2147483680 lt=500000887 ri=0 hash=efedbb5f7f8cef640b5807ebe3dbab9972fea997d018e63ba2d19abcab17bcf5
QSB_TRACE seq=2147483680 lt=500000888 ri=0 hash=4b784d7d0e4c24fd90a452ff16b58a8dd0a38ed3c81586571c3059a814ee4b68
QSB_TRACE seq=2147483680 lt=500000889 ri=0 hash=811cf734cbbe1cae7fc2b9a2ea1cc803a6d79602939d77713bd3e0bd5e5033ee
