QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 12 bytes, seq@0, lt@4
  Mode: REAL
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000256,500000513) (257), seq=[0x80000002+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483650 lt=500000512 ri=0 hash=7fdd5af632efe8f0501fd48be3a61ed70149396cb899c69aa4feff55c468df4a
QSB_TRACE seq=2147483650 lt=500000320 ri=0 hash=45f56f7a44ea54712c5693307b48de9a386b2a6795f154632338f9deb0df12b4
QSB_TRACE seq=2147483650 lt=500000321 ri=0 hash=3fb81ba6856677ce1cd4bb8f4bd8ccb6d5d1ac66d3a9d88c330be01d270e7d7b
QSB_TRACE seq=2147483650 lt=500000322 ri=0 hash=e6d3771783abf2940f10eccd01b45b1f496d9b7e6e11f7a64f331a920dd87c35
QSB_TRACE seq=2147483650 lt=500000323 ri=0 hash=63498fc977aa0eb752225ed76b94e63ca4c3daf2c79b3525b0a81b55a3102452
QSB_TRACE seq=2147483650 lt=500000324 ri=0 hash=9427c7ec5e9a8e53cdd955d823086d70861892b422af3e06342b2168984a042e
QSB_TRACE seq=2147483650 lt=500000325 ri=0 hash=d2714726f2bd66583e66285d4b22b421c0560f460f21318343e6184d27719b75
QSB_TRACE seq=2147483650 lt=500000326 ri=0 hash=1591f6aa50a71bbf6461adfc3fe7f611bc00b7f2a68dca33db83b246daf9cdda
QSB_TRACE seq=2147483650 lt=500000327 ri=0 hash=b424461a5a4bbff87ff8b148667442a21ae1f393172db2a36e9db59288d1dc37
QSB_TRACE seq=2147483650 lt=500000328 ri=0 hash=bbcae339aea0b4411ce3d14e62e26c2e2578e3c851719bca88d35d04e289baf9
QSB_TRACE seq=2147483650 lt=500000329 ri=0 hash=11496673fdd701fcf3563e0a7c220191ecb827febed3668c63f256774fcbcd1c
QSB_TRACE seq=2147483650 lt=500000330 ri=0 hash=0bb6c26bb617335fbaa7275ec88f6b9e0a6371054c108fb331cfb6276618e87b
QSB_TRACE seq=2147483650 lt=500000331 ri=0 hash=ca05877dc18c95c2d63e7ec39c1eedbfe8cf5aeb2722c352c70b43421ef7b308
QSB_TRACE seq=2147483650 lt=500000332 ri=0 hash=43658a4a206285927269a0bff6b1bf7e60530e1c3010eb1c6807f1364d75b255
QSB_TRACE seq=2147483650 lt=500000333 ri=0 hash=111a8acdfa87450f20aad2e0047b02a13f017c3f84785022e351c0dfc81eb7c3
QSB_TRACE seq=2147483650 lt=500000334 ri=0 hash=9f7cb4189edd2a4601c61c426f15f15a5075e8ca747b83f12e2e500d121a6bbd
QSB_TRACE seq=2147483650 lt=500000335 ri=0 hash=3208f94ea88d1983a9a73faf20f48dfc2a5df91d492af42e7d74307d107a9e46
QSB_TRACE seq=2147483650 lt=500000336 ri=0 hash=e99d0764e1afe42ec9a74114ecd282cea9031d7177a24c2a49afb95e0eea1a01
QSB_TRACE seq=2147483650 lt=500000337 ri=0 hash=a8fffd55c6b64dde909ae9c7f42ffa034d6cd30b3eb28859b24024800d896e93
QSB_TRACE seq=2147483650 lt=500000338 ri=0 hash=0a5fc07b1f9e3e635391c4cf6d02ed2dec8972ae97a86a505d01774611e4b1ce
QSB_TRACE seq=2147483650 lt=500000339 ri=0 hash=f0b712f1ae002115333edf7e7c4577a31c58dc6563b9ed26fbdc02899022aa3a
QSB_TRACE seq=2147483650 lt=500000340 ri=0 hash=65a6f5bd0cabc951156e519781aec9133640d0abdee42bd3c4e9b9531d63a25e
QSB_TRACE seq=2147483650 lt=500000341 ri=0 hash=d292ee132082ff7e4d8a4afc514eedb636c4b3a47df3a68099882612beb6ae97
QSB_TRACE seq=2147483650 lt=500000342 ri=0 hash=24dd477b9d3ff46dc2ec9db5eee3aeb1afde417e0e9fea7c911267bb82bf5a88
QSB_TRACE seq=2147483650 lt=500000343 ri=0 hash=6a35f1dcdf4738ad95321d4cf1158ce23fb8b19707d1ba4f9bdc4969b5e5c363
QSB_TRACE seq=2147483650 lt=500000344 ri=0 hash=f261975008abfd034a7f2932f2505441e0a91030fd9451d07398799adde3526f
QSB_TRACE seq=2147483650 lt=500000345 ri=0 hash=986666b5cc62cb9e372e7e9b4fbd514eccc51ceda25c67ff3f58876c398e63cf
