QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.77s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 75 bytes, seq@0, lt@67
  Mode: REAL
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000000,500000129) (129), seq=[0x80000001+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483649 lt=500000128 ri=0 hash=abcd2707f67018c985823f82524c524a763770c0f4aba888a35c06645aa58310
QSB_TRACE seq=2147483649 lt=500000000 ri=0 hash=e2a1b8327d90448c6e6b4cec7f7cb376c685e8628e25e572b0ef6ff7c0ea4c4a
QSB_TRACE seq=2147483649 lt=500000001 ri=0 hash=e1fa186d5491545913df3bc129f86725ee163b5c1cdb71e174609f4adefd55fc
QSB_TRACE seq=2147483649 lt=500000002 ri=0 hash=41029cfe1430ce01540b4a22fd20e663bad269175d89ec5c528359ef4d1381b9
QSB_TRACE seq=2147483649 lt=500000003 ri=0 hash=03b9d987a0cc26cc70ec871ae543d5a7435f9497784b06eed013c59301b3b528
QSB_TRACE seq=2147483649 lt=500000004 ri=0 hash=964db2bca24025fcf43840d76efa6a757defdef1737dba8d7eb0e60540eb1670
QSB_TRACE seq=2147483649 lt=500000005 ri=0 hash=4b8c139e1481a4164ce135a119c566a96c35c15f2f56ba72553fba026fd8c68d
QSB_TRACE seq=2147483649 lt=500000006 ri=0 hash=3856a0d8b0834bde0707bb253fee74004c0c0415aa3a44ae447f7351109f69b6
QSB_TRACE seq=2147483649 lt=500000007 ri=0 hash=ecec81232e7dcaf326d0cf8fe1a9805601def83b4ef5b01ade79190c0b071dd0
QSB_TRACE seq=2147483649 lt=500000008 ri=0 hash=bf39cf897bf373e8bed43f33432f8f998dfec539b9bacb79f4e7dbeb9cf1f23f
QSB_TRACE seq=2147483649 lt=500000009 ri=0 hash=1e199ab67747fb9a62a12c6fb6a40a61888698d12a3f816d6162bd8e76b1561b
QSB_TRACE seq=2147483649 lt=500000010 ri=0 hash=f885d7fd39ef7d3d3208c4768a128957743beb6c7853303e98b91641a0c6fa0b
QSB_TRACE seq=2147483649 lt=500000011 ri=0 hash=f0a5bc156ef8507ed6976ebfa272475fc2f96a40f69d81b1a1bf9ce1e79541fa
QSB_TRACE seq=2147483649 lt=500000012 ri=0 hash=0afe686ea3de891129b8469aaf84fd6aa757905b08a6e026216eb5e26cf32f19
QSB_TRACE seq=2147483649 lt=500000013 ri=0 hash=365818b5785f90d72df5be8ee1dde50256aab1f5617be217102df2e9e7ccf802
QSB_TRACE seq=2147483649 lt=500000014 ri=0 hash=163113cdf5ea64fac5a1fe5051aaa7889669bccbffa0337d8924dbc3f94b1b81
QSB_TRACE seq=2147483649 lt=500000015 ri=0 hash=df9f5bf11aa887420f910fdaa12761e7a5fca28ac638791db6d8b7199991f962
QSB_TRACE seq=2147483649 lt=500000016 ri=0 hash=32dc86ed95d2d672f1402013e4845b45de6d715af92b5d41a8c120c3ea7e50de
QSB_TRACE seq=2147483649 lt=500000017 ri=0 hash=d90cd9c51306f550b807f0572a66f0a9ffce279c31c9623174a7046713a793f7
QSB_TRACE seq=2147483649 lt=500000018 ri=0 hash=570d0de148def0939c0fc862c7f92c7599d35d98793b983b1bf2edab01315625
QSB_TRACE seq=2147483649 lt=500000019 ri=0 hash=b68653c244a141bf85cfd06a0e80fe37d91e0befef5ab835258e30c36170308e
QSB_TRACE seq=2147483649 lt=500000020 ri=0 hash=cdb0fdbeccf6a02f49ef14560ca242dc4989e8cd15808e6e97ce1be1479d102b
QSB_TRACE seq=2147483649 lt=500000021 ri=0 hash=f426700a112bf21fdf10153b1b9903480c6f660518e408a120b08ce61d8786f6
QSB_TRACE seq=2147483649 lt=500000022 ri=0 hash=5bb5d1df72023b3d264ca508c8be55921a38baa8fb9f19f639d7064042ac98f8
QSB_TRACE seq=2147483649 lt=500000023 ri=0 hash=e46bfb572b3e5aafcdea750e4e2c3038bf36595e787b54bed869491b04bd40bd
QSB_TRACE seq=2147483649 lt=500000024 ri=0 hash=59c8f7b8f133ae7e332e15e1b11dcc96d0a0692592902cdcc246a7ac1917c758
QSB_TRACE seq=2147483649 lt=500000025 ri=0 hash=14356a90866f9697d5a2b9f53cb5c5befeea2dc92b0420aff72cff7079c314d7
